"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","56","61838  >  49350 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"2","0.000111","127.0.0.1","127.0.0.1","TCP","56","49350  >  61838 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"3","0.000169","127.0.0.1","127.0.0.1","TCP","44","61838  >  49350 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"4","0.000262","127.0.0.1","127.0.0.1","TCP","41132","61838  >  49350 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=41088"
"5","0.000312","127.0.0.1","127.0.0.1","TCP","44","49350  >  61838 [ACK] Seq=1 Ack=41089 Win=130816 Len=0"
"6","0.000337","127.0.0.1","127.0.0.1","TCP","44","61838  >  49350 [FIN, ACK] Seq=41089 Ack=1 Win=65280 Len=0"
"7","0.000349","127.0.0.1","127.0.0.1","TCP","44","49350  >  61838 [ACK] Seq=1 Ack=41090 Win=130816 Len=0"
"8","0.000643","127.0.0.1","127.0.0.1","TCP","56","61839  >  49350 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"9","0.000697","127.0.0.1","127.0.0.1","TCP","56","49350  >  61839 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM"
"10","0.000729","127.0.0.1","127.0.0.1","TCP","44","61839  >  49350 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"11","0.000777","127.0.0.1","127.0.0.1","TCP","41132","61839  >  49350 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=41088"
"12","0.000826","127.0.0.1","127.0.0.1","TCP","44","49350  >  61839 [ACK] Seq=1 Ack=41089 Win=130816 Len=0"
"13","0.000841","127.0.0.1","127.0.0.1","TCP","44","61839  >  49350 [FIN, ACK] Seq=41089 Ack=1 Win=65280 Len=0"
"14","0.000852","127.0.0.1","127.0.0.1","TCP","44","49350  >  61839 [ACK] Seq=1 Ack=41090 Win=130816 Len=0"
"15","0.031680","127.0.0.1","127.0.0.1","TCP","44","49350  >  61838 [FIN, ACK] Seq=1 Ack=41090 Win=130816 Len=0"
