"No.","Time","Source","Destination","Protocol","Length","Info"
"16849","8319.662251","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:f700:6::216:593a","TLSv1.3","154","Application Data"
"16850","8319.662326","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:f700:6::216:593a","TLSv1.3","189","Application Data"
"16851","8319.670224","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TCP","74","443  >  63344 [ACK] Seq=3942 Ack=551 Win=64384 Len=0"
"16852","8319.670398","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TLSv1.3","377","Application Data"
"16853","8319.670471","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:f700:6::216:593a","TCP","74","63344  >  443 [ACK] Seq=746 Ack=4245 Win=65280 Len=0"
"16854","8319.670656","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TLSv1.3","377","Application Data"
"16855","8319.670688","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:f700:6::216:593a","TCP","74","63344  >  443 [ACK] Seq=746 Ack=4548 Win=65024 Len=0"
"16856","8319.674739","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TCP","74","443  >  63344 [ACK] Seq=4548 Ack=746 Win=64256 Len=0"
"16857","8319.676262","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TLSv1.3","135","Application Data"
"16858","8319.676381","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TLSv1.3","105","Application Data"
"16859","8319.676421","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:f700:6::216:593a","TCP","74","63344  >  443 [ACK] Seq=746 Ack=4640 Win=65024 Len=0"
"16860","8319.676536","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TLSv1.3","231","Application Data"
"16861","8319.676605","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TLSv1.3","105","Application Data"
"16862","8319.676629","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:f700:6::216:593a","TCP","74","63344  >  443 [ACK] Seq=746 Ack=4828 Win=64768 Len=0"
"16863","8319.676733","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:f700:6::216:593a","TLSv1.3","105","Application Data"
"16864","8319.677162","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:f700:6::216:593a","TCP","74","63344  >  443 [FIN, ACK] Seq=777 Ack=4828 Win=64768 Len=0"
"16865","8319.685799","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TCP","86","[TCP Dup ACK 16856#1] 443  >  63344 [ACK] Seq=4828 Ack=746 Win=64256 Len=0 SLE=777 SRE=778"
"16866","8319.685990","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TCP","74","443  >  63344 [ACK] Seq=4828 Ack=778 Win=64256 Len=0"
"16867","8319.689805","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TLSv1.3","98","Application Data"
"16868","8319.689898","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:26f0:f700:6::216:593a","TCP","74","63344  >  443 [RST, ACK] Seq=778 Ack=4852 Win=0 Len=0"
"16869","8319.691237","2a02:26f0:f700:6::216:593a","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TCP","74","443  >  63344 [FIN, ACK] Seq=4852 Ack=778 Win=64256 Len=0"
"16870","8322.534649","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2a02:8388:8640:7a80:10:18ff:fe7b:f764","ICMPv6","86","Neighbor Solicitation for 2a02:8388:8640:7a80:10:18ff:fe7b:f764 from c8:d9:d2:33:12:d3"
"16871","8322.535325","2a02:8388:8640:7a80:10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","ICMPv6","78","Neighbor Advertisement 2a02:8388:8640:7a80:10:18ff:fe7b:f764 (rtr, sol)"
"16872","8322.697850","fe80::10:18ff:fe7b:f764","2a02:8388:8640:7a80:7869:2d93:b272:cf93","ICMPv6","86","Neighbor Solicitation for 2a02:8388:8640:7a80:7869:2d93:b272:cf93 from 02:10:18:7b:f7:64"
"16873","8322.697956","2a02:8388:8640:7a80:7869:2d93:b272:cf93","fe80::10:18ff:fe7b:f764","ICMPv6","86","Neighbor Advertisement 2a02:8388:8640:7a80:7869:2d93:b272:cf93 (sol, ovr) is at c8:d9:d2:33:12:d3"
"16874","8335.818416","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2603:1020:805:3::400","TLSv1.2","175","Application Data"
"16875","8335.848915","2603:1020:805:3::400","2a02:8388:8640:7a80:7869:2d93:b272:cf93","TLSv1.2","245","Application Data"
"16876","8335.897279","2a02:8388:8640:7a80:7869:2d93:b272:cf93","2603:1020:805:3::400","TCP","74","61771  >  443 [ACK] Seq=501 Ack=850 Win=254 Len=0"
"16877","8342.098042","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
"16878","8342.124572","fe80::8000:f227:eb36:27fb","fe80::ffff:ffff:fffe","ICMPv6","151","Router Advertisement"
"16879","8347.031890","HewlettPacka_33:12:d3","MS-NLB-PhysServer-16_18:7b:f7:64","ARP","42","Who has 192.168.0.1? Tell 192.168.0.251"
"16880","8347.032201","MS-NLB-PhysServer-16_18:7b:f7:64","HewlettPacka_33:12:d3","ARP","60","192.168.0.1 is at 02:10:18:7b:f7:64"
"16881","8367.761997","fe80::10:18ff:fe7b:f764","ff02::15d","UDP","110","14045  >  14041 Len=48"
"16882","8370.795407","fe80::ffff:ffff:fffe","ff02::2","ICMPv6","103","Router Solicitation"
